1|City Lights Tour|1|Explore the nightlife of San Francisco and see the city from a different perspective.|English|15|1,2|1,5|False|1|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
2|Miami Beach Art Deco Tour|2|Discover the iconic Art Deco architecture of Miami Beach and learn about the history of the city.|Spanish|20|3|2|False|2|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
3|Grand Canyon Adventure Tour|3|Experience the breathtaking views of the Grand Canyon on this adventurous hiking tour.|English|10|4|8|False|3|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
4|Napa Valley Wine Tour|4|Visit some of the best wineries in Napa Valley and taste a variety of wines.|English|8|5|6|False|4|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
5|Austin BBQ Tour|5|Sample some of the best BBQ in Austin and learn about the city's food culture.|English|12|6|4|False|5|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
6|New York City Food Tour|6|Taste a variety of foods from different cultures and neighborhoods in New York City.|English|20|7|3|False|6|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
7|Paris Fashion Tour|7|Discover the fashion scene of Paris and visit some of the most iconic fashion houses in the city.|French|6|8|4|False|7|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
8|Tokyo Sushi Tour|8|Learn about the art of sushi making and taste some of the best sushi in Tokyo.|Japanese|10|4,10|5|False|8|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
9|Golden Gate Park Tour|1| Explore the vast and beautiful Golden Gate Park, home to many iconic landmarks like the Japanese Tea Garden, Conservatory of Flowers, and the De Young Museum.|English|10|9,13|1|False|8|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
10|Alcatraz Island Tour|1|Take a ferry to Alcatraz Island and learn about the history of one of America's most notorious prisons. Walk through the prison cells and see where some of the most infamous criminals were held.|English|10|9,11|4|False|8|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
11|San Francisco Bay Cruise|1|Experience the beauty of San Francisco Bay on a scenic cruise. See the city skyline from the water, sail under the Golden Gate Bridge, and learn about the city's rich history and landmarks.|English|10|12,13|2|False|8|https://images.pexels.com/photos/2161449/pexels-photo-2161449.jpeg?auto=compress&cs=tinysrgb&w=600|6
